subject, mode, x, y, char
lwk,hover,24.926818181818184,158.45393939393938,a
lwk,hover,17.506818181818183,161.8839393939394,a
lwk,hover,18.316818181818185,157.36393939393938,a
lwk,hover,15.616818181818182,157.6639393939394,a
lwk,hover,16.826818181818183,150.6839393939394,a
lwk,hover,19.846818181818183,154.35393939393938,a
lwk,hover,17.826818181818183,153.02393939393937,a
lwk,hover,18.956818181818186,154.4039393939394,a
lwk,hover,17.65681818181818,152.0039393939394,a
lwk,hover,17.826818181818183,153.01393939393938,a
lwk,hover,18.216818181818184,150.35393939393938,a
lwk,hover,17.97681818181818,151.01393939393938,a
lwk,hover,14.076818181818183,149.8439393939394,a
lwk,hover,19.166818181818183,151.10393939393938,a
lwk,hover,17.736818181818183,151.3839393939394,a
lwk,hover,25.956818181818182,150.6239393939394,a
lwk,hover,15.876818181818184,148.5039393939394,a
lwk,hover,19.826818181818183,154.35393939393938,a
lwk,hover,18.006818181818183,150.80393939393937,a
lwk,hover,17.63681818181818,153.57393939393938,a
lwk,hover,21.826818181818183,161.76393939393938,a
lwk,hover,25.866818181818182,155.1939393939394,a
lwk,hover,20.236818181818183,155.80393939393937,a
lwk,hover,23.94681818181818,156.23393939393938,a
lwk,hover,19.816818181818185,153.2139393939394,a
lwk,hover,28.06681818181818,154.35393939393938,a
lwk,hover,25.826818181818183,154.35393939393938,a
lwk,hover,25.826818181818183,154.35393939393938,a
lwk,hover,18.26681818181818,151.9339393939394,a
lwk,hover,18.076818181818183,150.35393939393938,a
lwk,hover,17.826818181818183,150.35393939393938,a
lwk,hover,18.286818181818184,149.8739393939394,a
lwk,hover,18.416818181818183,150.35393939393938,a
lwk,hover,26.806818181818183,151.4039393939394,a
lwk,hover,26.366818181818182,149.6639393939394,a
lwk,hover,34.166818181818186,150.76393939393938,a
lwk,hover,33.82681818181818,148.8439393939394,a
lwk,hover,31.936818181818182,151.64393939393938,a
lwk,hover,33.82681818181818,147.2839393939394,a
lwk,hover,22.006818181818183,145.9139393939394,a
lwk,hover,33.386818181818185,148.5339393939394,a
lwk,hover,29.646818181818183,146.5339393939394,a
lwk,hover,22.546818181818182,142.35393939393938,a
lwk,hover,16.416818181818183,157.23393939393938,a
lwk,hover,18.97681818181818,160.32393939393938,a
lwk,hover,15.946818181818184,158.74393939393937,a
lwk,hover,16.616818181818182,157.45393939393938,a
lwk,hover,14.846818181818183,155.82393939393938,a
lwk,hover,14.426818181818183,157.4639393939394,a
lwk,hover,15.826818181818183,153.86393939393938,a
lwk,hover,17.826818181818183,153.3439393939394,a
lwk,hover,15.036818181818184,153.6839393939394,a
lwk,hover,19.01681818181818,154.5039393939394,a
lwk,hover,18.116818181818182,152.76393939393938,a
lwk,hover,18.08681818181818,153.08393939393937,a
lwk,hover,18.026818181818182,150.11393939393938,a
lwk,hover,16.766818181818184,151.77393939393937,a
lwk,hover,17.826818181818183,152.3439393939394,a
lwk,hover,18.046818181818182,150.80393939393937,a
lwk,hover,17.826818181818183,149.8139393939394,a
lwk,hover,17.826818181818183,146.98393939393938,a
lwk,hover,17.63681818181818,144.85393939393938,a
lwk,hover,18.286818181818184,146.24393939393937,a
lwk,hover,18.236818181818183,146.35393939393938,a
lwk,hover,17.436818181818182,149.48393939393938,a
lwk,hover,19.146818181818183,149.4439393939394,a
lwk,hover,20.33681818181818,146.8439393939394,a
lwk,hover,17.616818181818182,149.3739393939394,a
lwk,hover,23.426818181818184,148.10393939393938,a
lwk,hover,14.386818181818182,148.10393939393938,a
lwk,hover,26.306818181818183,150.07393939393938,a
lwk,hover,16.746818181818185,149.30393939393937,a
lwk,hover,17.996818181818185,146.11393939393938,a
lwk,hover,18.94681818181818,146.48393939393938,a
lwk,hover,28.346818181818183,158.85393939393938,a
lwk,hover,25.826818181818183,153.9439393939394,a
lwk,hover,25.996818181818185,154.52393939393937,a
lwk,hover,21.666818181818183,153.1639393939394,a
lwk,hover,18.246818181818185,152.5939393939394,a
lwk,hover,20.536818181818184,150.6939393939394,a
lwk,hover,21.826818181818183,152.6939393939394,a
lwk,hover,26.13681818181818,149.79393939393938,a
lwk,hover,20.096818181818183,154.7839393939394,a
lwk,hover,27.966818181818184,148.9639393939394,a
lwk,hover,18.176818181818184,146.4639393939394,a
lwk,hover,18.056818181818183,154.02393939393937,a
lwk,hover,22.40681818181818,150.35393939393938,a
lwk,hover,21.826818181818183,149.4339393939394,a
lwk,hover,21.606818181818184,150.3139393939394,a
lwk,hover,22.316818181818185,154.1339393939394,a
lwk,hover,28.706818181818182,153.76393939393938,a
lwk,hover,25.786818181818184,150.42393939393938,a
lwk,hover,25.076818181818183,155.86393939393938,a
lwk,hover,42.23681818181818,149.9639393939394,b
lwk,hover,38.31681818181818,149.55393939393937,b
lwk,hover,39.39681818181818,153.7839393939394,b
lwk,hover,43.276818181818186,148.30393939393937,b
lwk,hover,43.25681818181818,148.4139393939394,b
lwk,hover,31.106818181818184,145.64393939393938,b
lwk,hover,26.806818181818183,145.3739393939394,b
lwk,hover,46.07681818181818,142.0939393939394,b
lwk,hover,48.51681818181818,149.4139393939394,b
lwk,hover,46.23681818181818,138.6539393939394,b
lwk,hover,59.316818181818185,141.60393939393938,b
lwk,hover,44.916818181818186,139.4439393939394,b
lwk,hover,46.44681818181818,144.1239393939394,b
lwk,hover,26.866818181818182,145.3139393939394,b
lwk,hover,38.15681818181818,142.05393939393937,b
lwk,hover,48.066818181818185,137.76393939393938,b
lwk,hover,48.606818181818184,133.02393939393937,b
lwk,hover,57.44681818181818,148.4039393939394,b
lwk,hover,41.026818181818186,135.07393939393938,b
lwk,hover,46.40681818181818,137.58393939393937,b
lwk,hover,49.82681818181818,148.3739393939394,b
lwk,hover,52.65681818181818,143.4439393939394,b
lwk,hover,41.82681818181818,145.92393939393938,c
lwk,hover,33.05681818181819,147.35393939393938,c
lwk,hover,27.22681818181818,142.7539393939394,c
lwk,hover,27.296818181818182,144.3739393939394,c
lwk,hover,32.966818181818184,141.49393939393937,c
lwk,hover,29.546818181818182,141.99393939393937,c
lwk,hover,29.826818181818183,140.02393939393937,c
lwk,hover,33.00681818181818,141.89393939393938,c
lwk,hover,39.416818181818186,142.08393939393937,c
lwk,hover,34.81681818181818,147.9139393939394,c
lwk,hover,22.756818181818183,142.36393939393938,c
lwk,hover,27.31681818181818,140.3739393939394,c
lwk,hover,42.54681818181818,152.8739393939394,c
lwk,hover,43.37681818181818,153.5339393939394,c
lwk,hover,49.636818181818185,149.8739393939394,c
lwk,hover,33.32681818181818,143.3439393939394,c
lwk,hover,26.176818181818184,141.04393939393938,c
lwk,hover,38.426818181818184,141.64393939393938,c
lwk,hover,45.816818181818185,144.04393939393938,c
lwk,hover,46.54681818181818,142.35393939393938,c
lwk,hover,42.816818181818185,142.4439393939394,c
lwk,hover,41.82681818181818,138.7539393939394,c
lwk,hover,33.08681818181819,142.48393939393938,c
lwk,hover,36.23681818181818,140.2839393939394,c
lwk,hover,31.116818181818182,142.7539393939394,c
lwk,hover,40.81681818181818,147.85393939393938,c
lwk,hover,37.786818181818184,147.4439393939394,c
lwk,hover,33.82681818181818,142.30393939393937,c
lwk,hover,28.486818181818183,138.11393939393938,c
lwk,hover,33.79681818181818,138.35393939393938,c
lwk,hover,35.12681818181818,138.17393939393938,c
lwk,hover,39.68681818181818,143.5639393939394,c
lwk,hover,33.44681818181819,142.77393939393937,c
lwk,hover,33.82681818181818,142.6239393939394,c
lwk,hover,30.296818181818182,140.3139393939394,c
lwk,hover,30.296818181818182,142.35393939393938,c
lwk,hover,31.826818181818183,143.0639393939394,c
lwk,hover,43.676818181818184,141.08393939393937,c
lwk,hover,36.856818181818184,145.7139393939394,c
lwk,hover,33.90681818181818,145.6939393939394,c
lwk,hover,33.106818181818184,142.61393939393938,c
lwk,hover,30.746818181818185,161.4339393939394,d
lwk,hover,29.826818181818183,154.86393939393938,d
lwk,hover,30.646818181818183,152.1239393939394,d
lwk,hover,26.666818181818183,155.11393939393938,d
lwk,hover,26.826818181818183,154.35393939393938,d
lwk,hover,22.026818181818182,154.92393939393938,d
lwk,hover,25.986818181818183,150.1239393939394,d
lwk,hover,22.916818181818183,148.92393939393938,d
lwk,hover,33.61681818181818,150.35393939393938,d
lwk,hover,29.396818181818183,154.23393939393938,d
lwk,hover,31.056818181818183,153.83393939393937,d
lwk,hover,34.30681818181819,151.89393939393938,d
lwk,hover,28.236818181818183,153.6939393939394,d
lwk,hover,37.36681818181818,157.86393939393938,d
lwk,hover,38.80681818181819,158.14393939393938,d
lwk,hover,30.326818181818183,154.60393939393938,d
